Quantity	Reference	Part	PCB Footprint	Source	Source PN	MFG	MFG-PN
1	U2	MCIMX233DJM4B	BGA169C80P13X13_1100X1100X143				
6	R6,R9,R10,R13,R14,R17	NM(47K)	0402/R	Digikey	RMCF1/16S0RTR-ND	Stackpole	RMCF 1/16S 0 R
16	C1,C16,C17,C18,C28,C29,C30,C43,C62,C68,C70,C71,C74,C76,C77,C79	100NF	0402/C	Digikey			
1	R18	1.00	0402/R	x	x	x	x
1	U3	MDDR1,32MX16,VFBGA	VFBGA-60	NU Horizons	MT46H32M16LFBF-6 IT:C	Micron	MT46H32M16LF
1	L2	NM(DLW21SN900SQ20)	DLW21S	Digikey	490-5137-2-ND	muRata	DLW21SN900SQ2L
4	C61,C67,C73,C78	10NF	0402/C	Digikey	311-1349-2-ND	Yageo	CC0402KRX7R9BB103
1	U4	MICROSD-lid-type	MICRO-SD-LID-TYPE	Digikey	101-00303-68-1-ND	Amphenol	101-00303-68
7	C42,C44,C46,C63,C69,C75,C80	1UF	0402/C	Digikey			
1	C21	4.7U	0402/C	Digikey			
1	J6	HEADER 2	HEADER-2-.1				
1	L3	IND,15u,920mA	SDR0403	Digikey	SDR0403-150MLTR-ND	Bournes	SDR0403-150ML
1	J3	LCD-OSD-OSD043TN24	LCD-OSD-OSD043TN24	Digikey	HFK140CT-ND	Hirose	FH12A-40S-0.5SH(55)
12	TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP10,TP11,TP12,TP13	TP	TP				
2	R23,R24	2.20K	0402/R	x	x	x	x
1	Y1	CRYSTAL_24MHZ_SMT	NX8045GB	Digikey	644-1027-2-ND	NDK	NX8045GB-24.000000MHZ
1	D1	DIODE,20V,1A	SMA/D	Digikey	B120-FDITR-ND	Diodes	B120-13-F
1	U1	TPD2E001DRLR	TPD2E001-DZD	Digikey	296-21883-2-ND	TI	TPD2E001DRLR
3	R26,R27,R28	10.0K	0402/R	Digikey	311-10.0KLRCT-ND	Digikey	RC0402FR-0710KL
65	SW1,SW2,SW3,SW4,SW5,SW6,SW7,SW8,SW9,SW10,SW11,SW12,SW13,SW14,SW15,SW16,SW17,SW18,SW19,SW20,SW21,SW22,SW23,SW24,SW25,SW26,SW27,SW28,SW29,SW30,SW31,SW32,SW33,SW34,SW35,SW36,SW37,SW38,SW39,SW40,SW41,SW42,SW43,SW44,SW45,SW46,SW47,SW48,SW49,SW50,SW51,SW52,SW53,SW54,SW55,SW56,SW57,SW58,SW59,SW60,SW61,SW62,SW63,SW64,SW65	NM(SW-PUCK)	EVQ-9P6B40	N/A	N/A	N/A	N/A
2	C4,C5	15PF	0402/C	Digikey			
6	R7,R8,R11,R12,R15,R16	47K	0402/R	Digikey	RMCF1/16S0RTR-ND	Stackpole	RMCF 1/16S 0 R
8	C8,C9,C10,C11,C12,C13,C14,C15	1NF	0402/C	Digikey			
1	R1	NM(470K)	0402/R	x	x	x	x
1	R29	NM(1.00K)	0402/R	Digikey	311-1.00KLRCT-ND	Yaego	RC0402FR-071KL
5	C60,C64,C65,C66,C72	33UF	1210/C	Digikey	445-3953-2-ND	TDK	C3225X5R0J336M/2.50
2	C2,C3	8PF	0402/C	Digikey	445-4891-1-ND	TDK	C1005C0G1H080D
1	J4	SPEAKER	SPEAKER				
1	Y2	CRYSTAL_32.768KHZ_SMT	AB26TR	Digikey	535-9033-2-ND	Abracon Corporation	AB26TRB-32.768KHZ-T
1	R2	100K	0402/R	x	x	x	x
1	J5	CON24A	HEADER28				
2	R21,R25	0.100	0402/R	x	x	x	x
1	J2	NM(HEADER-3-.1)	HEADER-3-.1				
1	J1	USB_MICRO_B	ZX62-B-5PA	Digikey	H11634TR-ND	Hirose	ZX62-B-5PA(11)
1	C19	1U	0402/C	Digikey	490-1319-2-ND	muRata	GRM155R60J105ME19D
1	L1	FERRITE	0805/L				
